date,time,country,country_code,opposing_country,spi,opposing_spi,spi_offense,opposing_spi_offense,spi_defense,opposing_spi_defense,sixteen,win
21-Jun,18:00,Uruguay,URU,COL,81.49,87.51,2.2386,2.4223,0.8471,0.4507,0.4127,0
21-Jun,18:00,USA,USA,BEL,78.54,81.82,2.1097,2.1451,0.9792,0.7583,0.6861,0
21-Jun,21:00,Algeria,ALG,GER,64.22,89.38,1.1757,3.237,1.1682,0.745,0.1638,1
21-Jun,21:00,Argentina,ARG,SUI,89.92,78.27,2.8288,2.1691,0.4448,1.0401,1,1
21-Jun,21:00,Belgium,BEL,USA,81.82,78.54,2.1451,2.1097,0.7583,0.9792,0.8727,1
21-Jun,21:00,Brazil,BRA,CHI,91.07,87.79,3.1874,2.7379,0.5156,0.6167,0.9944,1
21-Jun,21:00,Chile,CHI,BRA,87.79,91.07,2.7379,3.1874,0.6167,0.5156,1,0
21-Jun,21:00,Colombia,COL,URU,87.51,81.49,2.4223,2.2386,0.4507,0.8471,1,1
21-Jun,21:00,Costa Rica,CRC,GRE,78.55,74.21,1.5911,1.1796,0.6107,0.5825,1,1
21-Jun,21:00,France,FRA,NGA,87.82,74.86,2.7485,1.5469,0.62,0.8212,0.9999,1
21-Jun,21:00,Germany,GER,ALG,89.38,64.22,3.237,1.1757,0.745,1.1682,0.9765,0
21-Jun,21:00,Greece,GRE,CRC,74.21,78.55,1.1796,1.5911,0.5825,0.6107,0.2127,0
21-Jun,21:00,Mexico,MEX,NED,78.45,86.18,1.4757,2.7976,0.534,0.8089,0.6119,0
21-Jun,21:00,Netherlands,NED,MEX,86.18,78.45,2.7976,1.4757,0.8089,0.534,1,1
21-Jun,21:00,Nigeria,NGA,FRA,74.86,87.82,1.5469,2.7485,0.8212,0.62,0.2827,0
21-Jun,21:00,Switzerland,SUI,ARG,78.27,89.92,2.1691,2.8288,1.0401,0.4448,0.6043,0
21-Jun,21:00,Uruguay,URU,COL,81.49,87.51,2.2386,2.4223,0.8471,0.4507,0.4211,0
21-Jun,21:00,USA,USA,BEL,78.54,81.82,2.1097,2.1451,0.9792,0.7583,0.6367,0
22-Jun,0:00,Algeria,ALG,GER,64.22,89.38,1.1757,3.237,1.1682,0.745,0.1601,1
22-Jun,0:00,Argentina,ARG,SUI,89.92,78.27,2.8288,2.1691,0.4448,1.0401,1,1
22-Jun,0:00,Belgium,BEL,USA,81.82,78.54,2.1451,2.1097,0.7583,0.9792,0.87,1
22-Jun,0:00,Brazil,BRA,CHI,91.07,87.79,3.1874,2.7379,0.5156,0.6167,0.9938,1
22-Jun,0:00,Chile,CHI,BRA,87.79,91.07,2.7379,3.1874,0.6167,0.5156,1,0
22-Jun,0:00,Colombia,COL,URU,87.51,81.49,2.4223,2.2386,0.4507,0.8471,1,1
